tomato OrthoGene,arabidopsis OrthoGene,Orthogroup,tomato Symbol,arabidopsis Symbol
4081_0:002534,3702_0:006584,10009at3193,LOC101245541,AT5G42200
4081_0:0062c9,3702_0:006584,10009at3193,LOC101249449,AT5G42200
4081_0:0044e5,3702_0:001f5f,10092at3193,GLYMA_04G056600,AT2G26300
4081_0:0060db,3702_0:000e32,10147at3193,LOC101260909,AT1G73910
4081_0:0060db,3702_0:0018a2,10147at3193,LOC101260909,AT1G18450
4081_0:001ce5,3702_0:000573,10228at3193,LOC101262196,AT1G49040
4081_0:00485f,3702_0:0012bf,10238at3193,LOC101260971,AT1G79120
4081_0:0059bd,3702_0:0003d0,10488at3193,LOC101253967,AT1G08260
4081_0:0059bd,3702_0:00201b,10488at3193,LOC101253967,AT2G27120
4081_0:003212,3702_0:002cb3,10525at3193,LOC101257571,AT3G45740
4081_0:004c68,3702_0:004364,10582at3193,LOC101258001,AT4G02460
4081_0:001ebf,3702_0:005674,10648at3193,Xpo1,AT5G17020
4081_0:005c5e,3702_0:000790,10757at3193,LOC101252151,AT1G19150
4081_0:0009c3,3702_0:0035a8,10772at3193,LOC101250327,AT3G01280
4081_0:001104,3702_0:0035a8,10772at3193,LOC101264394,AT3G01280
4081_0:001d0f,3702_0:0035a8,10772at3193,LOC101254065,AT3G01280
4081_0:0009c3,3702_0:006a17,10772at3193,LOC101250327,AT5G15090
4081_0:001104,3702_0:006a17,10772at3193,LOC101264394,AT5G15090
4081_0:001d0f,3702_0:006a17,10772at3193,LOC101254065,AT5G15090
4081_0:00247f,3702_0:0019af,10804at3193,LOC101250591,AT1G60490
4081_0:0007ed,3702_0:000421,10950at3193,LOC101248910,AT1G23550
4081_0:001c07,3702_0:000421,10950at3193,LOC101245634,AT1G23550
4081_0:00241b,3702_0:000421,10950at3193,LOC101250212,AT1G23550
4081_0:0025bf,3702_0:000421,10950at3193,LOC101249914,AT1G23550
4081_0:0028d1,3702_0:000421,10950at3193,LOC101249263,AT1G23550
4081_0:002ce4,3702_0:000421,10950at3193,LOC101248971,AT1G23550
4081_0:0033fa,3702_0:000421,10950at3193,LOC101256097,AT1G23550
4081_0:003fe9,3702_0:000421,10950at3193,LOC101254819,AT1G23550
4081_0:0042da,3702_0:000421,10950at3193,LOC101265942,AT1G23550
4081_0:0007ed,3702_0:000a44,10950at3193,LOC101248910,AT1G70440
4081_0:001c07,3702_0:000a44,10950at3193,LOC101245634,AT1G70440
4081_0:00241b,3702_0:000a44,10950at3193,LOC101250212,AT1G70440
4081_0:0025bf,3702_0:000a44,10950at3193,LOC101249914,AT1G70440
4081_0:0028d1,3702_0:000a44,10950at3193,LOC101249263,AT1G70440
4081_0:002ce4,3702_0:000a44,10950at3193,LOC101248971,AT1G70440
4081_0:0033fa,3702_0:000a44,10950at3193,LOC101256097,AT1G70440
4081_0:003fe9,3702_0:000a44,10950at3193,LOC101254819,AT1G70440
4081_0:0042da,3702_0:000a44,10950at3193,LOC101265942,AT1G70440
4081_0:0007ed,3702_0:000d1e,10950at3193,LOC101248910,AT1G32230
4081_0:001c07,3702_0:000d1e,10950at3193,LOC101245634,AT1G32230
4081_0:00241b,3702_0:000d1e,10950at3193,LOC101250212,AT1G32230
4081_0:0025bf,3702_0:000d1e,10950at3193,LOC101249914,AT1G32230
4081_0:0028d1,3702_0:000d1e,10950at3193,LOC101249263,AT1G32230
4081_0:002ce4,3702_0:000d1e,10950at3193,LOC101248971,AT1G32230
4081_0:0033fa,3702_0:000d1e,10950at3193,LOC101256097,AT1G32230
4081_0:003fe9,3702_0:000d1e,10950at3193,LOC101254819,AT1G32230
4081_0:0042da,3702_0:000d1e,10950at3193,LOC101265942,AT1G32230
4081_0:0007ed,3702_0:00299f,10950at3193,LOC101248910,AT2G35510
4081_0:001c07,3702_0:00299f,10950at3193,LOC101245634,AT2G35510
4081_0:00241b,3702_0:00299f,10950at3193,LOC101250212,AT2G35510
4081_0:0025bf,3702_0:00299f,10950at3193,LOC101249914,AT2G35510
4081_0:0028d1,3702_0:00299f,10950at3193,LOC101249263,AT2G35510
4081_0:002ce4,3702_0:00299f,10950at3193,LOC101248971,AT2G35510
4081_0:0033fa,3702_0:00299f,10950at3193,LOC101256097,AT2G35510
4081_0:003fe9,3702_0:00299f,10950at3193,LOC101254819,AT2G35510
4081_0:0042da,3702_0:00299f,10950at3193,LOC101265942,AT2G35510
4081_0:0007ed,3702_0:006a79,10950at3193,LOC101248910,AT5G62520
4081_0:001c07,3702_0:006a79,10950at3193,LOC101245634,AT5G62520
4081_0:00241b,3702_0:006a79,10950at3193,LOC101250212,AT5G62520
4081_0:0025bf,3702_0:006a79,10950at3193,LOC101249914,AT5G62520
4081_0:0028d1,3702_0:006a79,10950at3193,LOC101249263,AT5G62520
4081_0:002ce4,3702_0:006a79,10950at3193,LOC101248971,AT5G62520
4081_0:0033fa,3702_0:006a79,10950at3193,LOC101256097,AT5G62520
4081_0:003fe9,3702_0:006a79,10950at3193,LOC101254819,AT5G62520
4081_0:0042da,3702_0:006a79,10950at3193,LOC101265942,AT5G62520
4081_0:0037fa,3702_0:003e67,109806at3193,LOC101247227,AT3G17668
4081_0:00026e,3702_0:006a5a,109807at3193,LOC101259582,AT5G26749
4081_0:00404d,3702_0:00235f,109808at3193,LOC101265154,AT2G26695
4081_0:005bdb,3702_0:00235f,109808at3193,LOC101263788,AT2G26695
4081_0:006016,3702_0:00235f,109808at3193,LOC101261099,AT2G26695
4081_0:00404d,3702_0:003a95,109808at3193,LOC101265154,AT3G15680
4081_0:005bdb,3702_0:003a95,109808at3193,LOC101263788,AT3G15680
4081_0:006016,3702_0:003a95,109808at3193,LOC101261099,AT3G15680
4081_0:00404d,3702_0:005667,109808at3193,LOC101265154,AT5G25490
4081_0:005bdb,3702_0:005667,109808at3193,LOC101263788,AT5G25490
4081_0:006016,3702_0:005667,109808at3193,LOC101261099,AT5G25490
4081_0:000ff8,3702_0:001bad,109841at3193,LOC101247771,AT1G51540
4081_0:001782,3702_0:001bad,109841at3193,LOC101264607,AT1G51540
4081_0:000ff8,3702_0:003249,109841at3193,LOC101247771,AT3G27220
4081_0:001782,3702_0:003249,109841at3193,LOC101264607,AT3G27220
4081_0:00347c,3702_0:003d67,109843at3193,LOC544138,AT3G44010
4081_0:0055f9,3702_0:003d67,109843at3193,LOC101254555,AT3G44010
4081_0:00347c,3702_0:00401c,109843at3193,LOC544138,AT3G43980
4081_0:0055f9,3702_0:00401c,109843at3193,LOC101254555,AT3G43980
4081_0:00347c,3702_0:004e63,109843at3193,LOC544138,AT4G33865
4081_0:0055f9,3702_0:004e63,109843at3193,LOC101254555,AT4G33865
4081_0:003f5d,3702_0:001c0b,109859at3193,LOC101260246,AT2G20825
4081_0:005cb3,3702_0:001c0b,109859at3193,LOC101256068,AT2G20825
4081_0:006142,3702_0:001c0b,109859at3193,LOC101247987,AT2G20825
4081_0:003f5d,3702_0:00515e,109859at3193,LOC101260246,AT4G28190
4081_0:005cb3,3702_0:00515e,109859at3193,LOC101256068,AT4G28190
4081_0:006142,3702_0:00515e,109859at3193,LOC101247987,AT4G28190
4081_0:005c0a,3702_0:005758,109886at3193,LOC101267493,AT5G08170
4081_0:001026,3702_0:0007c9,109895at3193,LOC101253645,AT1G71930
4081_0:001a6b,3702_0:0007c9,109895at3193,LOC101247411,AT1G71930
4081_0:003658,3702_0:0007c9,109895at3193,LOC101252786,AT1G71930
4081_0:0037d4,3702_0:0007c9,109895at3193,LOC101246350,AT1G71930
4081_0:00411b,3702_0:0007c9,109895at3193,LOC101267143,AT1G71930
4081_0:004142,3702_0:0007c9,109895at3193,LOC101248904,AT1G71930
4081_0:00506e,3702_0:0007c9,109895at3193,LOC101263643,AT1G71930
4081_0:005ab3,3702_0:0007c9,109895at3193,LOC101245609,AT1G71930
4081_0:001026,3702_0:00110a,109895at3193,LOC101253645,AT1G12260
4081_0:001a6b,3702_0:00110a,109895at3193,LOC101247411,AT1G12260
4081_0:003658,3702_0:00110a,109895at3193,LOC101252786,AT1G12260
4081_0:0037d4,3702_0:00110a,109895at3193,LOC101246350,AT1G12260
4081_0:00411b,3702_0:00110a,109895at3193,LOC101267143,AT1G12260
4081_0:004142,3702_0:00110a,109895at3193,LOC101248904,AT1G12260
4081_0:00506e,3702_0:00110a,109895at3193,LOC101263643,AT1G12260
4081_0:005ab3,3702_0:00110a,109895at3193,LOC101245609,AT1G12260
4081_0:001026,3702_0:001781,109895at3193,LOC101253645,AT1G62700
4081_0:001a6b,3702_0:001781,109895at3193,LOC101247411,AT1G62700
4081_0:003658,3702_0:001781,109895at3193,LOC101252786,AT1G62700
4081_0:0037d4,3702_0:001781,109895at3193,LOC101246350,AT1G62700
4081_0:00411b,3702_0:001781,109895at3193,LOC101267143,AT1G62700
4081_0:004142,3702_0:001781,109895at3193,LOC101248904,AT1G62700
4081_0:00506e,3702_0:001781,109895at3193,LOC101263643,AT1G62700
4081_0:005ab3,3702_0:001781,109895at3193,LOC101245609,AT1G62700
4081_0:001026,3702_0:002936,109895at3193,LOC101253645,AT2G46770
4081_0:001a6b,3702_0:002936,109895at3193,LOC101247411,AT2G46770
4081_0:003658,3702_0:002936,109895at3193,LOC101252786,AT2G46770
